ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,92,SupplierA
2001,Electronics-Be,Clothing,412.35,52,SupplierA
2002,Office-Family,Clothing,866,73,SupplierA
2003,Electronics-Training,Clothing,385.18,97,SupplierD
2004,Office-Where,Home,927.25,86,SupplierA
2005,Office-Huge,Home,428.78,63,SupplierA
2006,Office-Class,Clothing,198,25,SupplierB
2007,Clothing-Over,Electronics,583.39,40,SupplierA
2008,Electronics-Skin,Home,66.59,9,SupplierA
2009,Office-Raise,Clothing,66.31,34,SupplierB
2010,Electronics-Themselves,Clothing,77.84,64,SupplierB
2011,Electronics-Religious,Clothing,409.74,90,SupplierB
2012,Clothing-Artist,Electronics,623.19,10,SupplierA
2013,Office-Cultural,Home,935.36,12,SupplierD
2014,Clothing-Eat,Home,246.3,18,SupplierD
2015,Office-Itself,Clothing,674.97,24,SupplierB
2016,Home-He,Office,323.02,88,SupplierB
2017,Electronics-Feeling,Electronics,463.7,54,SupplierC
2018,Electronics-Nature,Electronics,542.26,74,SupplierC
2019,Home-History,Clothing,933.93,92,SupplierB
2020,Electronics-Share,Clothing,375.83,54,SupplierA
2021,Clothing-Skill,Office,835.41,62,SupplierB
2022,Home-Economy,Electronics,671.18,53,SupplierB
2023,Home-Yeah,Electronics,939.54,28,SupplierC
2024,Clothing-Paper,Home,124.27,9,SupplierC
2025,Electronics-Assume,Clothing,279.62,9,SupplierA
2026,Clothing-Use,Home,211.56,3,SupplierC
2027,Home-Purpose,Office,258.61,92,SupplierB
2028,Electronics-Take,Electronics,637.94,97,SupplierD
2029,Home-Yourself,Electronics,13.51,43,SupplierC
2030,Clothing-First,Home,169.97,73,SupplierD
2031,Office-Develop,Office,565.3,96,SupplierB
2032,Electronics-There,Electronics,945.6,70,SupplierA
2033,Clothing-Argue,Electronics,836.25,11,SupplierA
2034,Clothing-Feel,Office,136.17,57,SupplierD
2035,Home-According,Home,899.99,37,SupplierD
2036,Electronics-Candidate,Home,217.98,63,SupplierB
2037,Clothing-Meeting,Electronics,360.14,82,SupplierC
2038,Office-Soon,Clothing,926.51,75,SupplierB
2039,Clothing-Need,Clothing,976.44,54,SupplierC
2040,Clothing-Determine,Office,34.54,80,SupplierA
2041,Home-Assume,Office,804.21,31,SupplierC
2042,Clothing-Lawyer,Home,167.61,89,SupplierB
2043,Electronics-Practice,Office,873.45,28,SupplierD
2044,Office-Society,Clothing,207.58,24,SupplierB
2045,Office-Next,Home,312.14,61,SupplierC
2046,Clothing-Worry,Clothing,33.43,4,SupplierA
2047,Clothing-Hair,Office,334.98,23,SupplierD
2048,Electronics-Candidate,Home,357.63,16,SupplierB
2049,Office-Easy,Home,939.84,31,SupplierD
2050,Electronics-Young,Home,186.78,58,SupplierA
2051,Home-Century,Electronics,117.32,51,SupplierB
2052,Office-Year,Home,731.26,13,SupplierA
2053,Home-Ground,Office,610.15,36,SupplierD
2054,Electronics-Above,Office,900.51,17,SupplierA
2055,Clothing-Politics,Home,53.94,63,SupplierC
2056,Office-About,Electronics,524.72,88,SupplierB
2057,Clothing-Identify,Home,436.98,16,SupplierC
2058,Home-Wear,Home,666.75,22,SupplierC
2059,Electronics-Clear,Home,512.05,94,SupplierA
2060,Office-Term,Home,408.38,6,SupplierD
2061,Home-Quite,Clothing,199.92,66,SupplierB
2062,Office-Receive,Clothing,619.36,77,SupplierD
2063,Home-Good,Office,552.46,91,SupplierC
2064,Electronics-Stop,Home,294.04,57,SupplierA
2065,Office-Animal,Home,470.34,1,SupplierB
2066,Office-Occur,Clothing,516.06,65,SupplierA
2067,Clothing-Remain,Electronics,290.95,57,SupplierB
2068,Home-Read,Electronics,820.24,91,SupplierA
2069,Clothing-Garden,Home,232.39,91,SupplierA
2070,Clothing-About,Clothing,34.18,21,SupplierC
2071,Clothing-Success,Office,615.16,32,SupplierC
2072,Electronics-Become,Office,420.3,13,SupplierB
2073,Clothing-Executive,Office,499.43,54,SupplierD
2074,Clothing-Strong,Clothing,659.5,11,SupplierC
2075,Electronics-Letter,Electronics,780.64,89,SupplierA
2076,Clothing-Affect,Clothing,806.07,23,SupplierD
2077,Office-Ball,Electronics,561.83,56,SupplierC
2078,Electronics-Film,Office,142.01,74,SupplierB
2079,Office-Who,Home,950.54,24,SupplierB
2080,Office-Doctor,Office,832.26,68,SupplierA
2081,Office-Light,Clothing,746.22,62,SupplierA
2082,Office-Figure,Office,266.6,36,SupplierA
2083,Clothing-Cut,Home,768.16,41,SupplierA
2084,Office-Stuff,Clothing,281.85,9,SupplierD
2085,Electronics-Officer,Home,242.15,31,SupplierA
2086,Home-Of,Home,894.1,27,SupplierD
2087,Electronics-Rather,Clothing,159.32,96,SupplierD
2088,Office-Evening,Clothing,709.35,9,SupplierB
2089,Electronics-Action,Office,413.52,20,SupplierA
2090,Office-Staff,Office,71.64,35,SupplierC
2091,Office-Mrs,Office,905.79,64,SupplierC
2092,Electronics-Add,Office,482.21,57,SupplierC
2093,Home-Real,Home,755.94,23,SupplierD
2094,Office-Fight,Clothing,493.35,2,SupplierD
2095,Home-Seem,Office,490.79,44,SupplierC
2096,Office-Discuss,Home,672.18,43,SupplierC
2097,Office-Recent,Clothing,842.1,85,SupplierB
2098,Clothing-Trouble,Electronics,907.86,28,SupplierC
2099,Electronics-Several,Electronics,646.32,88,SupplierB
