TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,PaymentType
1,5/4/2025,1034,2059,402,0,2048.2,893,Debit
2,5/4/2025,1066,2048,403,1,321.87,886,Check
3,5/4/2025,1116,2041,403,3,3216.84,448,Cash
4,5/4/2025,1071,2096,404,2,1613.23,716,Credit
5,5/4/2025,1020,2060,401,0,408.38,937,Cash
6,5/4/2025,1089,2028,401,0,1275.88,576,Debit
7,5/4/2025,1193,2003,402,1,346.66,90,Debit
8,5/4/2025,1005,2079,402,1,855.49,989,Credit
9,5/4/2025,1032,2060,401,1,735.08,412,Check
10,5/4/2025,1119,2089,403,2,661.63,744,Cash
11,5/4/2025,1042,2077,401,,505.65,17,Credit
12,5/4/2025,1079,2013,401,2,0,912,Debit
13,5/4/2025,1147,2086,404,3,4470.5,956,Cash
14,5/4/2025,1183,2025,401,1,503.32,854,Debit
15,5/4/2025,1026,2089,403,0,413.52,454,Debit
16,5/4/2025,1144,2005,403,3,1715.12,310,Debit
17,5/4/2025,1169,2047,401,2,535.97,679,Debit
18,5/4/2025,1003,2053,404,0,3660.9,408,Cash
19,5/4/2025,1110,2046,404,1,30.09,507,Debit
20,5/4/2025,1111,2022,403,3,671.18,727,Credit
21,5/4/2025,1119,2055,403,2,?,331,Check
22,5/4/2025,1062,2011,403,3,1229.22,85,Cash
23,5/4/2025,1062,2096,404,3,672.18,537,Cash
24,5/4/2025,1086,2003,404,2,924.43,565,Check
25,5/4/2025,1046,2062,402,2,1981.95,654,Credit
26,5/4/2025,1066,2043,403,2,698.76,269,Check
27,5/4/2025,1142,2001,402,0,1237.05,67,Check
28,5/4/2025,1061,2092,404,3,482.21,393,Credit
29,5/4/2025,1142,2097,402,3,4210.5,555,Check
30,5/4/2025,1165,2091,404,3,4528.95,66,Cash
31,2023-13-01,1004,2011,403,1,737.53,401,Cash
32,5/4/2025,1103,2088,402,2,0,933,Credit
33,5/4/2025,1169,2074,403,3,0,855,Credit
34,5/4/2025,1141,2067,403,3,872.85,738,Cash
35,5/4/2025,1190,2070,403,2,54.69,201,Check
36,5/4/2025,1179,2058,403,2,1066.8,553,Check
37,5/4/2025,1064,2029,401,1,12.16,168,Check
38,5/4/2025,1080,2015,402,1,3037.36,282,Check
39,5/4/2025,1055,2094,404,2,1578.72,791,Check
40,5/4/2025,1185,2075,403,0,0,480,Check
41,5/4/2025,9999,2037,402,2,288.11,225,Cash
42,5/4/2025,1045,2038,401,1,1667.72,442,Debit
43,5/4/2025,1070,2005,401,2,686.05,53,Credit
